Stock,Name,Sector,Cap,Pattern,TF,Date,Status,Breakout_Zone,CMP,Upside_%,Quality,Vol_Surge,CANSLIM,Reco,Window
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,1742.1,2089.0,0.0,0.245,2.95,5,BUY — moderate,100
STEL,STEL Holdings Limited,Financial Services,Small,DoubleBottom,Daily,2026-04-23,Breakout Ready,9.61,10.38,0.0,0.213,1.66,5,BUY — moderate,100
WABAG,VA Tech Wabag Limited,Industrials,Mid,BullFlag,Weekly,2026-04-20,Breakout Ready,566.25,566.25,0.0,0.16,2.63,5,BUY — moderate,15
ADL,Archidply Decor Limited,Consumer Cyclical,Micro,DoubleBottom,Weekly,2026-04-20,Breakout Ready,238.84,246.83,0.0,0.154,3.17,5,BUY — moderate,40
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Small,DoubleBottom,Weekly,2026-04-20,Breakout Ready,141.63,151.62,0.0,0.129,1.52,5,BUY — moderate,40
WABAG,VA Tech Wabag Limited,Industrials,Mid,DoubleBottom,Weekly,2026-04-20,Breakout Ready,453.0,566.25,0.0,0.121,2.0,5,BUY — moderate,40
VIDYAWIRES,VIDYA WIRES LIMITED,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,227.48,227.48,0.0,0.118,1.29,5,BUY — moderate,15
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,2713.54,3234.9,0.0,0.114,1.25,5,BUY — moderate,80
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,12.06,14.19,0.0,0.111,1.57,5,BUY — moderate,40
RAMKY,Ramky Infrastructure Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,12.06,14.19,0.0,0.111,1.57,5,BUY — moderate,40
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,2997.8,3234.9,0.0,0.107,1.25,5,BUY — moderate,60
ASIANPAINT,Asian Paints Limited,Basic Materials,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,316.77,315.67,0.0,0.086,1.23,5,BUY — moderate,15
ECLERX,eClerx Services Limited,Technology,Mid,InverseHS,Weekly,2026-04-23,Breakout Ready,201.67,207.46,0.0,0.066,1.86,5,BUY — moderate,60
SIGNPOST,Signpost India Limited,Communication Services,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,461.35,475.0,0.0,0.06,1.27,5,BUY — moderate,60
WILLAMAGOR,Williamson Magor & Co. Limited,Financial Services,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,479.25,479.5,0.0,0.042,2.57,5,BUY — moderate,60
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,1614.0,2089.0,0.0,0.024,2.95,5,BUY — moderate,120
STEL,STEL Holdings Limited,Financial Services,Small,InverseHS,Daily,2026-04-23,Breakout Ready,8.74,10.38,0.0,0.02,1.66,5,BUY — moderate,60
EPACKPEB,EPACK PREFAB TECHN LTD,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,3234.9,3234.9,0.0,0.016,1.25,5,BUY — moderate,60
ELIN,Elin Electronics Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,60.27,75.14,0.0,0.01,3.71,5,BUY — moderate,60
SIGNPOST,Signpost India Limited,Communication Services,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,420.62,475.0,0.0,0.009,1.27,5,BUY — moderate,60
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,12.28,14.19,0.0,-0.001,1.57,5,BUY — moderate,60
RAMKY,Ramky Infrastructure Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,12.28,14.19,0.0,-0.001,1.57,5,BUY — moderate,60
VRLLOG,VRL Logistics Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,114.91,126.39,0.0,-0.002,1.33,5,BUY — moderate,40
ELIN,Elin Electronics Limited,Industrials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,DoubleBottom,Weekly,2026-04-23,Breakout Ready,60.45,75.14,0.0,-0.003,3.71,5,BUY — moderate,40
VRLLOG,VRL Logistics Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,126.39,126.39,0.0,-0.004,1.55,5,BUY — moderate,15
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,14.19,14.19,0.0,-0.006,2.8,5,BUY — moderate,15
RAMKY,Ramky Infrastructure Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,14.19,14.19,0.0,-0.006,2.8,5,BUY — moderate,15
BAJFINANCE,Bajaj Finance Limited,Financial Services,Large,BullFlag,Weekly,2026-04-23,Breakout Ready,185.5,185.5,0.0,-0.011,1.79,5,BUY — moderate,15
VRLLOG,VRL Logistics Limited,Industrials,Small,InverseHS,Weekly,2026-04-23,Breakout Ready,112.24,126.39,0.0,-0.014,1.33,5,BUY — moderate,60
RAMRAT,Ram Ratna Wires Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,14.24,14.19,0.0,-0.048,1.57,5,BUY — moderate,60
RAMKY,Ramky Infrastructure Limited,Industrials,Small,FlatBase,Weekly,2026-04-23,Breakout Ready,14.24,14.19,0.0,-0.048,1.57,5,BUY — moderate,60
DHAMPURSUG,Dhampur Sugar Mills Limited,Consumer Defensive,Small,BullFlag,Weekly,2026-04-20,Breakout Ready,151.62,151.62,0.0,-0.054,1.24,5,BUY — moderate,15
BAJAJELEC,Bajaj Electricals Limited,Consumer Cyclical,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,2089.0,2089.0,0.0,-0.096,2.49,5,BUY — moderate,15
ELIN,Elin Electronics Limited,Industrials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
EMAMIPAP,Emami Paper Mills Limited,Basic Materials,Micro,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
ELLEN,ELLENBARRIE INDUS GASES L,Basic Materials,Small,BullFlag,Weekly,2026-04-23,Breakout Ready,75.14,75.14,0.0,-0.182,4.41,5,BUY — moderate,15
ECLERX,eClerx Services Limited,Technology,Mid,BullFlag,Weekly,2026-04-23,Breakout Ready,207.46,207.46,0.0,-0.192,3.72,5,BUY — moderate,20
SUDARSCHEM,Sudarshan Chemical Industries Limited,Basic Materials,Mid,BullFlag,Weekly,2026-04-23,Breakout Ready,691.0,691.0,0.0,-0.207,1.46,5,BUY — moderate,15
GODREJPROP,Godrej Properties Limited,Real Estate,Large,DoubleBottom,Weekly,2026-04-20,Breakout Ready,207.89,225.47,0.0,0.351,3.88,4,BUY — moderate,40
